code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
AAA,2014J,205494,M,South West Region,HE Qualification,30-40%,35-55,0,60,N,Pass
AAA,2014J,228021,M,Scotland,A Level or Equivalent,40-50%,35-55,0,60,N,Distinction
AAA,2014J,228383,M,Yorkshire Region,HE Qualification,50-60%,0-35,0,60,N,Pass
AAA,2014J,232307,M,South Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass
AAA,2014J,235068,F,East Midlands Region,Lower Than A Level,30-40%,35-55,0,60,N,Pass
AAA,2014J,235507,M,Yorkshire Region,A Level or Equivalent,90-100%,oct-20,1,180,N,Pass
AAA,2014J,236875,M,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
AAA,2014J,243510,F,South West Region,Lower Than A Level,60-70%,0-35,0,60,N,Fail
AAA,2014J,244246,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass
AAA,2014J,248581,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,N,Distinction
AAA,2014J,252073,F,Yorkshire Region,A Level or Equivalent,30-40%,35-55,0,120,N,Pass
AAA,2014J,254625,M,Wales,A Level or Equivalent,20-30%,35-55,0,60,N,Distinction
AAA,2014J,260355,F,London Region,A Level or Equivalent,80-90%,35-55,1,120,N,Withdrawn
AAA,2014J,260623,M,South East Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass
AAA,2014J,263251,M,East Anglian Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
AAA,2014J,263543,M,East Anglian Region,Lower Than A Level,90-100%,35-55,0,60,N,Pass
AAA,2014J,263952,M,North Region,Lower Than A Level,,35-55,0,60,N,Distinction
AAA,2014J,266524,F,South Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass
AAA,2014J,268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,1,120,N,Fail
AAA,2014J,273346,M,East Midlands Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass
AAA,2014J,274947,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,120,N,Withdrawn
AAA,2014J,275674,F,London Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn
AAA,2014J,275792,F,East Anglian Region,HE Qualification,50-60%,0-35,0,60,N,Pass
AAA,2014J,277123,F,East Midlands Region,A Level or Equivalent,70-80%,35-55,0,60,N,Fail
AAA,2014J,277880,F,South East Region,A Level or Equivalent,60-70%,0-35,1,120,N,Withdrawn
AAA,2014J,281077,F,East Anglian Region,HE Qualification,50-60%,0-35,0,60,N,Pass
AAA,2014J,281636,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
AAA,2014J,285315,M,East Anglian Region,HE Qualification,70-80%,0-35,0,60,N,Pass
AAA,2014J,287040,F,East Anglian Region,A Level or Equivalent,40-50%,35-55,0,90,N,Pass
AAA,2014J,287204,M,Scotland,A Level or Equivalent,0-10%,0-35,0,60,N,Pass
AAA,2014J,287210,M,Scotland,A Level or Equivalent,70-80%,35-55,0,60,N,Pass
AAA,2014J,288994,M,Scotland,A Level or Equivalent,30-40%,oct-20,0,120,N,Fail
AAA,2014J,289449,M,East Midlands Region,HE Qualification,90-100%,35-55,0,60,N,Pass
AAA,2014J,290164,F,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass
AAA,2014J,292525,M,South Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
AAA,2014J,292775,M,South East Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
AAA,2014J,293824,F,South West Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
AAA,2014J,294655,M,Wales,A Level or Equivalent,70-80%,35-55,0,60,N,Fail
AAA,2014J,295060,M,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail
AAA,2014J,295075,M,South Region,HE Qualification,70-80%,55<=,0,60,N,Pass
AAA,2014J,296424,M,Scotland,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
AAA,2014J,298034,M,Scotland,A Level or Equivalent,70-80%,35-55,0,120,N,Fail
AAA,2014J,298838,F,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
AAA,2014J,301967,M,South West Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
AAA,2014J,302476,M,South East Region,A Level or Equivalent,70-80%,0-35,0,60,N,Distinction
AAA,2014J,303521,F,Ireland,A Level or Equivalent,20-30%,35-55,0,60,N,Pass
AAA,2014J,303985,F,Scotland,HE Qualification,70-80%,0-35,1,60,N,Pass
AAA,2014J,304465,F,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
AAA,2014J,306646,M,South Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
AAA,2014J,309142,F,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
AAA,2014J,310412,F,London Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
AAA,2014J,311235,M,South West Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
AAA,2014J,311659,M,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,120,N,Fail
AAA,2014J,313937,M,Scotland,HE Qualification,80-90%,oct-20,0,60,N,Pass
AAA,2014J,315076,M,Yorkshire Region,A Level or Equivalent,0-10%,oct-20,0,60,N,Pass
AAA,2014J,315744,M,Scotland,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction
AAA,2014J,323370,F,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass
AAA,2014J,323805,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,180,N,Withdrawn
AAA,2014J,328734,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,180,N,Withdrawn
AAA,2014J,329659,F,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,60,Y,Fail
AAA,2014J,330594,M,South West Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass
AAA,2014J,331358,F,South Region,HE Qualification,90-100%,35-55,1,60,N,Distinction
AAA,2014J,332884,M,Wales,A Level or Equivalent,60-70%,0-35,0,60,N,Pass
AAA,2014J,334441,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Fail
AAA,2014J,335247,M,South West Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
AAA,2014J,335764,F,South East Region,A Level or Equivalent,20-30%,0-35,1,60,N,Pass
AAA,2014J,337748,F,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,120,N,Withdrawn
AAA,2014J,338407,M,East Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
AAA,2014J,342007,F,West Midlands Region,HE Qualification,70-80%,0-35,1,60,N,Pass
AAA,2014J,345440,M,South Region,HE Qualification,90-100%,0-35,0,60,N,Pass
AAA,2014J,345519,F,North Region,A Level or Equivalent,,oct-20,0,60,N,Pass
AAA,2014J,346118,F,East Anglian Region,A Level or Equivalent,20-30%,35-55,0,120,N,Pass
AAA,2014J,348275,M,Scotland,HE Qualification,40-50%,35-55,0,120,N,Withdrawn
AAA,2014J,348807,M,East Midlands Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass
AAA,2014J,350156,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass
AAA,2014J,350939,M,East Anglian Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass
AAA,2014J,353665,M,South Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass
AAA,2014J,354170,F,Wales,A Level or Equivalent,0-10%,0-35,0,60,N,Fail
AAA,2014J,356170,M,North Western Region,HE Qualification,30-40%,0-35,0,60,N,Pass
AAA,2014J,358182,M,South Region,Lower Than A Level,80-90%,0-35,0,120,N,Pass
AAA,2014J,364957,F,East Anglian Region,HE Qualification,70-80%,35-55,0,60,N,Pass
AAA,2014J,369834,M,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn
AAA,2014J,373872,F,South Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
AAA,2014J,375260,M,Ireland,HE Qualification,,0-35,0,60,N,Pass
AAA,2014J,375646,M,London Region,A Level or Equivalent,40-50%,0-35,0,120,N,Pass
AAA,2014J,377546,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Distinction
AAA,2014J,381642,F,North Western Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn
AAA,2014J,382095,M,South Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass
AAA,2014J,383180,F,South Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn
AAA,2014J,383600,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
AAA,2014J,383723,M,East Anglian Region,HE Qualification,90-100%,oct-20,0,60,N,Pass
AAA,2014J,384203,M,Scotland,HE Qualification,20-30%,0-35,0,120,N,Pass
AAA,2014J,384725,F,East Anglian Region,Lower Than A Level,90-100%,35-55,0,60,N,Pass
AAA,2014J,387533,M,Scotland,HE Qualification,50-60%,35-55,0,60,N,Fail
AAA,2014J,387954,F,South Region,A Level or Equivalent,60-70%,35-55,0,60,N,Withdrawn
AAA,2014J,390890,M,Scotland,A Level or Equivalent,0-10%,0-35,1,90,N,Pass
AAA,2014J,391249,M,South Region,HE Qualification,90-100%,35-55,0,60,N,Distinction
AAA,2014J,396599,F,South Region,Lower Than A Level,60-70%,0-35,0,120,Y,Fail
AAA,2014J,396655,F,South Region,Lower Than A Level,40-50%,0-35,0,180,Y,Fail
AAA,2014J,398171,F,South West Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass
AAA,2014J,398349,F,East Midlands Region,HE Qualification,70-80%,0-35,0,60,N,Pass
AAA,2014J,400147,M,South East Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass
AAA,2014J,400682,F,London Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
AAA,2014J,401404,M,West Midlands Region,A Level or Equivalent,90-100%,0-35,0,180,N,Pass
AAA,2014J,402204,M,West Midlands Region,A Level or Equivalent,,oct-20,0,60,N,Pass
AAA,2014J,402727,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,60,Y,Pass
AAA,2014J,402961,F,North Western Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass
AAA,2014J,404356,F,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass
AAA,2014J,406671,M,South West Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass
AAA,2014J,406682,M,South East Region,HE Qualification,70-80%,55<=,0,60,N,Distinction
AAA,2014J,409100,M,South East Region,HE Qualification,80-90%,35-55,0,60,N,Pass
AAA,2014J,409703,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass
AAA,2014J,410092,F,North Western Region,A Level or Equivalent,0-10%,35-55,0,60,N,Pass
AAA,2014J,411971,M,Ireland,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
AAA,2014J,415969,M,West Midlands Region,HE Qualification,0-10%,35-55,1,60,N,Fail
AAA,2014J,418731,M,Ireland,A Level or Equivalent,70-80%,0-35,0,90,N,Fail
AAA,2014J,421455,F,North Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
AAA,2014J,429858,M,Ireland,Lower Than A Level,,0-35,0,300,N,Distinction
AAA,2014J,431025,M,East Anglian Region,A Level or Equivalent,90-100%,oct-20,0,150,N,Fail
AAA,2014J,439305,M,South East Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
AAA,2014J,440319,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn
AAA,2014J,442064,F,South West Region,HE Qualification,70-80%,0-35,0,120,N,Pass
AAA,2014J,442132,M,South West Region,HE Qualification,20-30%,0-35,0,60,N,Pass
AAA,2014J,446108,M,South West Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass
AAA,2014J,447481,M,Ireland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
AAA,2014J,468120,M,West Midlands Region,Lower Than A Level,50-60%,0-35,0,120,N,Fail
AAA,2014J,468694,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Withdrawn
AAA,2014J,470588,M,South East Region,HE Qualification,90-100%,35-55,1,60,N,Withdrawn
AAA,2014J,470982,F,East Anglian Region,HE Qualification,20-30%,35-55,1,120,N,Pass
AAA,2014J,476603,M,Wales,A Level or Equivalent,0-10%,0-35,0,120,N,Distinction
AAA,2014J,481022,M,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,180,N,Fail
AAA,2014J,483800,F,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass
AAA,2014J,484897,F,South West Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
AAA,2014J,485962,F,East Anglian Region,HE Qualification,70-80%,0-35,0,120,N,Pass
AAA,2014J,488990,M,South West Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass
AAA,2014J,500113,M,South East Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass
AAA,2014J,503889,F,Yorkshire Region,A Level or Equivalent,30-40%,oct-20,0,60,N,Pass
AAA,2014J,518808,F,Scotland,HE Qualification,90-100%,0-35,0,60,N,Pass
AAA,2014J,522482,F,Scotland,HE Qualification,70-80%,0-35,0,90,N,Withdrawn
AAA,2014J,527100,M,West Midlands Region,HE Qualification,70-80%,0-35,0,120,N,Distinction
AAA,2014J,527801,M,South West Region,Lower Than A Level,90-100%,35-55,0,120,N,Fail
AAA,2014J,533068,M,South Region,HE Qualification,90-100%,0-35,0,60,N,Pass
AAA,2014J,544253,M,London Region,A Level or Equivalent,60-70%,35-55,0,120,N,Pass
AAA,2014J,548120,M,London Region,HE Qualification,80-90%,0-35,0,60,N,Pass
AAA,2014J,561467,F,South Region,A Level or Equivalent,80-90%,0-35,0,90,N,Withdrawn
AAA,2014J,567922,F,North Western Region,A Level or Equivalent,50-60%,0-35,0,120,N,Withdrawn
AAA,2014J,569505,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,Distinction
AAA,2014J,570317,M,Wales,A Level or Equivalent,70-80%,0-35,0,120,N,Pass
AAA,2014J,574505,F,West Midlands Region,HE Qualification,40-50%,0-35,0,120,N,Pass
AAA,2014J,588477,M,Yorkshire Region,HE Qualification,20-30%,0-35,0,60,N,Pass
AAA,2014J,593846,M,South Region,HE Qualification,50-60%,0-35,0,120,N,Withdrawn
AAA,2014J,593987,F,East Anglian Region,HE Qualification,70-80%,35-55,0,180,N,Fail
AAA,2014J,596288,F,Scotland,HE Qualification,70-80%,0-35,0,120,N,Pass
AAA,2014J,603834,F,Scotland,HE Qualification,50-60%,oct-20,0,90,N,Pass
BBB,2014B,25629,F,Scotland,Lower Than A Level,20-30%,0-35,1,120,N,Withdrawn
BBB,2014B,25997,F,London Region,A Level or Equivalent,20-30%,0-35,2,60,N,Withdrawn
BBB,2014B,27891,M,Scotland,Lower Than A Level,0-10%,0-35,4,120,Y,Fail
BBB,2014B,50069,F,Scotland,A Level or Equivalent,30-40%,0-35,0,90,N,Fail
BBB,2014B,52426,F,Scotland,Lower Than A Level,70-80%,35-55,1,60,N,Fail
BBB,2014B,59725,F,Wales,HE Qualification,40-50%,35-55,0,120,N,Distinction
BBB,2014B,60416,F,East Anglian Region,Lower Than A Level,60-70%,0-35,1,60,N,Pass
BBB,2014B,60830,F,South Region,HE Qualification,60-70%,0-35,0,120,N,Pass
BBB,2014B,63721,F,South East Region,Lower Than A Level,80-90%,0-35,0,60,Y,Distinction
BBB,2014B,64275,F,West Midlands Region,Lower Than A Level,0-10%,0-35,2,60,Y,Pass
BBB,2014B,72400,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,120,Y,Distinction
BBB,2014B,75118,F,North Western Region,Lower Than A Level,0-10%,0-35,0,150,Y,Withdrawn
BBB,2014B,76196,F,North Western Region,Lower Than A Level,0-10%,35-55,1,120,Y,Withdrawn
BBB,2014B,78255,F,North Region,Lower Than A Level,0-10%,0-35,2,120,N,Fail
BBB,2014B,80001,F,South West Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail
BBB,2014B,88340,F,Wales,Lower Than A Level,30-40%,0-35,0,60,Y,Withdrawn
BBB,2014B,89092,F,Wales,Lower Than A Level,50-60%,0-35,2,60,N,Pass
BBB,2014B,89778,M,South East Region,A Level or Equivalent,70-80%,oct-20,1,120,N,Distinction
BBB,2014B,90361,F,Wales,HE Qualification,20-30%,35-55,0,60,N,Pass
BBB,2014B,92274,F,East Anglian Region,Lower Than A Level,60-70%,0-35,2,120,N,Withdrawn
BBB,2014B,92341,F,North Western Region,Lower Than A Level,40-50%,0-35,2,60,N,Fail
BBB,2014B,93925,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn
BBB,2014B,97006,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,1,60,N,Pass
BBB,2014B,97865,F,Yorkshire Region,Lower Than A Level,20-30%,0-35,3,60,N,Withdrawn
BBB,2014B,103535,F,South West Region,A Level or Equivalent,40-50%,0-35,0,120,N,Pass
BBB,2014B,107713,F,East Anglian Region,Lower Than A Level,40-50%,0-35,2,150,N,Withdrawn
BBB,2014B,108799,F,Scotland,Post Graduate Qualification,90-100%,oct-20,0,75,N,Distinction
BBB,2014B,115452,F,East Anglian Region,Lower Than A Level,30-40%,0-35,1,120,N,Fail
BBB,2014B,117699,F,South Region,A Level or Equivalent,40-50%,0-35,0,120,N,Distinction
BBB,2014B,119471,F,East Midlands Region,Lower Than A Level,0-10%,35-55,1,120,N,Fail
BBB,2014B,123270,F,North Western Region,Lower Than A Level,50-60%,35-55,0,60,N,Fail
BBB,2014B,123462,M,Scotland,HE Qualification,80-90%,0-35,1,120,N,Pass
BBB,2014B,125055,F,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,Y,Pass
BBB,2014B,126608,M,Wales,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
BBB,2014B,126713,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass
BBB,2014B,130013,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Pass
BBB,2014B,132972,F,London Region,Lower Than A Level,20-30%,0-35,0,240,N,Pass
BBB,2014B,139250,F,Scotland,A Level or Equivalent,20-30%,0-35,0,60,N,Distinction
BBB,2014B,140719,F,London Region,HE Qualification,20-30%,0-35,1,240,N,Fail
BBB,2014B,148427,F,South East Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass
BBB,2014B,155631,F,South Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass
BBB,2014B,157276,F,North Western Region,A Level or Equivalent,80-90%,35-55,0,60,N,Distinction
BBB,2014B,159293,M,South East Region,A Level or Equivalent,20-30%,0-35,0,120,N,Distinction
BBB,2014B,165904,F,South Region,A Level or Equivalent,30-40%,0-35,1,120,N,Distinction
BBB,2014B,171751,F,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
BBB,2014B,172137,F,Wales,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
BBB,2014B,183287,F,Wales,Lower Than A Level,40-50%,0-35,0,90,Y,Withdrawn
BBB,2014B,185021,F,East Anglian Region,Lower Than A Level,80-90%,0-35,1,60,N,Pass
BBB,2014B,187257,F,South Region,HE Qualification,50-60%,35-55,0,60,N,Pass
BBB,2014B,187601,F,South West Region,A Level or Equivalent,80-90%,35-55,0,135,N,Pass
BBB,2014B,189035,F,East Midlands Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass
BBB,2014B,189986,F,Scotland,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn
BBB,2014B,190565,F,Wales,Lower Than A Level,20-30%,35-55,0,60,Y,Pass
BBB,2014B,194073,F,North Western Region,A Level or Equivalent,0-10%,0-35,0,120,N,Withdrawn
BBB,2014B,200506,F,North Western Region,Lower Than A Level,30-40%,35-55,0,60,N,Withdrawn
BBB,2014B,201431,F,Wales,Lower Than A Level,50-60%,35-55,0,120,N,Pass
BBB,2014B,202394,F,Wales,A Level or Equivalent,40-50%,0-35,0,60,N,Distinction
BBB,2014B,206003,F,South East Region,A Level or Equivalent,40-50%,35-55,0,60,N,Distinction
BBB,2014B,226747,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Distinction
BBB,2014B,228481,F,London Region,A Level or Equivalent,80-90%,oct-20,0,90,N,Pass
BBB,2014B,228824,F,Wales,HE Qualification,20-30%,0-35,0,120,N,Pass
BBB,2014B,231959,F,North Region,Lower Than A Level,20-30%,35-55,2,180,N,Fail
BBB,2014B,232539,F,South East Region,Lower Than A Level,20-30%,0-35,0,60,N,Distinction
BBB,2014B,233095,F,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
BBB,2014B,233102,F,South East Region,Lower Than A Level,30-40%,0-35,1,240,N,Pass
BBB,2014B,235097,F,North Western Region,Lower Than A Level,40-50%,0-35,2,120,Y,Withdrawn
BBB,2014B,235380,F,South Region,Lower Than A Level,70-80%,0-35,0,60,N,Fail
BBB,2014B,235428,M,London Region,Lower Than A Level,20-30%,35-55,1,150,N,Fail
BBB,2014B,236161,F,South Region,A Level or Equivalent,90-100%,oct-20,0,60,N,Pass
BBB,2014B,238519,M,South Region,Lower Than A Level,40-50%,0-35,0,120,N,Withdrawn
BBB,2014B,244064,F,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction
BBB,2014B,247292,F,Wales,Lower Than A Level,40-50%,35-55,0,60,N,Pass
BBB,2014B,247513,F,East Midlands Region,HE Qualification,40-50%,35-55,0,60,N,Pass
BBB,2014B,250123,F,South Region,Lower Than A Level,0-10%,0-35,0,120,Y,Distinction
BBB,2014B,252652,F,London Region,A Level or Equivalent,50-60%,35-55,2,120,N,Pass
